Vehicle Number,Registration Year,FC Validity,Service Required Every (KM),Container Type,Container Size (ft),Goods Carried,Assigned Route,Trip Date,Name,Mobile Number,Driving License Number,Experience(yrs),Trip count,Km,MINs
MH31RX9705,2015,2030,15000,Tanker,40,Food,Randallborough to North Mark,04-05-2022,Ashley Aguilar,(685)615-5571x4618,RX8657975,3,157,5809,11618
MH05DM2309,2005,2009,5000,Tanker,20,Clothing,South Jessicamouth to Lake Brandonland,30-08-2008,Stephanie Mason,305-177-2872x72265,KL1476606,9,310,10850,21700
MH43LN1002,2007,2016,20000,Tanker,40,Electronics,Port Noahton to Timothyberg,12-12-2023,Dana Ali,3958834706,GQ9642533,19,436,17876,35752
MH86EX8632,2018,2025,20000,Dry Van,40,Furniture,East Victoria to Port David,29-01-2025,Michael Lamb,(618)491-6467x581,ED5292269,29,404,8080,16160
MH62HF9885,2021,2024,10000,Flatbed,40,Food,Deborahhaven to Port Toddfort,28-10-2022,Julian Morales,(585)030-4264,FA1210156,14,440,6160,12320
MH21YG2341,2019,2034,10000,Dry Van,40,Clothing,West Angeltown to West Mary,07-07-2023,David Gardner,(873)652-7529x628,DN3150862,7,52,832,832
MH37ZY5641,2006,2017,20000,Tanker,20,Furniture,Angelafort to Mccormicktown,20-03-2008,Jill Miller,(105)592-6580,LN1890720,20,136,4760,9520
MH13CT5047,2010,2023,15000,Tanker,40,Chemicals,Jonathanbury to South Brittanyshire,01-06-2023,Dustin Wilkerson,+1-796-530-4262x13020,QU5902770,3,366,17568,17568
MH71ES8793,2010,2018,5000,Tanker,20,Furniture,Rodneyhaven to Wileytown,26-04-2019,Michelle Weaver,2637264302,GB3228381,30,252,8568,8568
MH14UO9986,2007,2018,5000,Tanker,40,Food,Charlesborough to North Toddmouth,08-10-2011,Carl Harris,351.176.5173,XS7112500,18,365,4015,8030
MH84ND6010,2019,2024,15000,Flatbed,40,Furniture,Staceyside to Tammiefurt,20-10-2023,Melissa Jones,113.114.9464,PK6565217,7,147,5145,10290
MH86NV4910,2019,2032,15000,Refrigerated,20,Electronics,Port Ryan to Joshuachester,15-12-2019,Tonya Jordan,+1-027-345-8458x448,PY9002701,17,364,3640,3640
MH94DV8891,2007,2014,20000,Flatbed,40,Chemicals,Port Alexandramouth to Fieldsview,28-12-2024,Donna Davis,915.994.3851x00086,RN2667683,18,251,8283,8283
MH35JQ5082,2013,2026,5000,Dry Van,20,Furniture,Lake Douglaston to Wagnerport,06-07-2017,Willie King,(850)727-7748x87607,EY8153267,11,80,3440,3440
MH28NF3888,2011,2021,20000,Flatbed,20,Chemicals,North Thomasborough to Michelleshire,20-01-2020,Marcus Miller,535-899-7999x45895,KU1847212,14,186,5022,5022
MH68KR2828,2007,2022,10000,Tanker,20,Furniture,Jonchester to Brianville,24-05-2008,Peter Byrd,762-111-9652x074,LA4543388,15,232,5336,10672
MH18BT5356,2016,2028,5000,Refrigerated,20,Food,Torresside to South Nicholas,18-10-2018,Lori Kaufman,539.306.3357,MR9125698,2,44,792,1584
MH19NP2536,2014,2029,5000,Flatbed,20,Electronics,West Steven to East Jeffrey,07-04-2015,Lisa Davidson,-4960,JS1588401,24,475,22800,22800
MH50CA2630,2010,2012,5000,Flatbed,20,Electronics,Johnathanfort to Lesliemouth,06-10-2021,Daniel Mccoy,320-485-7528x6225,MP7695826,30,429,12870,12870
MH29OZ1908,2010,2014,10000,Dry Van,40,Food,Port Deborah to North Jose,06-03-2024,Susan Barnes,+1-587-617-5575x436,OO7975624,17,3,72,144
MH54KY9142,2020,2034,5000,Refrigerated,40,Food,South Jerry to Smithland,16-02-2021,Edward Raymond,426.723.1646,AM8760156,13,188,5828,5828
MH09BG1959,2020,2028,10000,Refrigerated,20,Food,Cobbstad to New Raymondmouth,23-11-2022,Amber Webb,(965)847-0650x315,WP5947342,17,397,13498,26996
MH62SL7932,2019,2028,5000,Tanker,20,Furniture,East Stephenfort to Terrytown,04-10-2023,Sara Mora,4678606536,AU4240656,5,331,3972,7944
MH57FU7603,2006,2018,20000,Flatbed,40,Food,Rochaport to Ramirezmouth,07-10-2011,Jennifer Thompson,277954697,EE1156906,5,374,6358,12716
MH30KE4516,2005,2011,15000,Tanker,20,Furniture,Lake Timothy to East Joshuachester,09-03-2019,Kirsten Tran,143-999-4374,DA4497516,14,412,5356,5356
MH77TL8237,2008,2021,20000,Tanker,20,Furniture,Lake Mariachester to New Kristafort,24-01-2013,Darrell Martin,159-642-9146,HD5500814,12,76,1216,2432
MH11RH2684,2010,2019,15000,Tanker,40,Electronics,Phamshire to Gabrielborough,11-11-2018,Scott Roberts,652.277.0369x915,UN5056331,1,228,7752,7752
MH38BI9786,2022,2034,20000,Refrigerated,20,Chemicals,New Allisonland to Garciamouth,23-04-2022,Charles Johns,559.300.2471,IU3598390,26,177,5664,11328
MH49MI7544,2018,2030,5000,Refrigerated,40,Electronics,New Jasmineton to Ruizshire,10-04-2020,Jerome Richardson,+1-896-978-0432x6750,FR7461517,30,460,6440,6440
MH05IS8697,2011,2024,15000,Refrigerated,40,Food,New Theresastad to Goodmanborough,23-08-2024,David Maldonado,+1-455-833-5606x3432,ID7937083,27,474,6162,12324
MH61BG7447,2023,2029,15000,Refrigerated,20,Clothing,West Ashleyview to Lindseyville,13-07-2024,Kimberly Thomas,250-652-1795,LY5176720,13,131,5109,10218
MH65DW2609,2006,2015,10000,Tanker,20,Furniture,North Roberthaven to Davistown,21-09-2017,Mr. Craig Frey,097-097-1742x89320,KL8940829,29,80,1680,1680
MH82GX3415,2006,2018,20000,Refrigerated,40,Electronics,Lake Debraton to North Pamela,09-08-2011,Martin Myers,967.745.5461,GH7259164,9,195,2145,4290
MH74XR4872,2006,2018,10000,Refrigerated,40,Food,New Sandrahaven to Lake Jeremymouth,08-05-2013,Mark Fry,-2464,GY6226738,28,350,16800,16800
MH26RQ9148,2021,2029,5000,Dry Van,40,Chemicals,East Kaylaview to New David,18-08-2022,Travis Stein,001-612-901-5157x711,HZ3632394,3,270,9450,9450
MH36PL1020,2012,2019,15000,Tanker,20,Clothing,Goldenborough to Lake Felicia,05-10-2022,Terry Ryan,099-786-3971x368,NQ9584239,23,207,7038,7038
MH09RB6814,2009,2012,10000,Refrigerated,20,Chemicals,New Tracy to East Michelle,02-04-2015,Joshua Calderon,+1-343-472-4914x24095,CC1507509,4,115,1840,3680
MH48LF5447,2011,2026,20000,Refrigerated,20,Food,Fisherville to East Carriestad,07-01-2023,Kimberly Colon,001-325-130-4896x92325,KY7167097,5,288,6624,6624
MH47QB9279,2010,2018,5000,Dry Van,20,Chemicals,East Michelleberg to New Mark,14-12-2023,Rachel Poole,-966,UQ5499348,15,414,9522,19044
MH73XJ1039,2018,2032,10000,Refrigerated,20,Chemicals,North Rickbury to Davidbury,03-05-2018,Michael Bond,113.333.9839,PQ8350992,8,72,1512,3024
MH02ZF3816,2019,2026,5000,Refrigerated,20,Clothing,Robertsview to Marybury,12-04-2021,Danielle Boyer DDS,(390)544-0208x561,LC2907765,25,386,8106,16212
MH96CJ8580,2009,2011,5000,Dry Van,20,Clothing,Emilyland to Adammouth,11-12-2012,Michele Huerta,(843)286-3958x766,PH3598405,3,468,5616,5616
MH38RM4005,2015,2028,10000,Refrigerated,40,Electronics,Marshallland to Lake Jaredstad,24-08-2021,Katelyn Harding,175.929.7588x110,OP5982327,3,267,13083,13083
MH31JO6698,2018,2031,20000,Dry Van,40,Furniture,Bowersland to Port Natalieberg,04-03-2024,Amy Hughes,4929940404,CF6502410,3,163,3097,6194
MH81ER1692,2006,2017,20000,Dry Van,40,Clothing,Lake Jasonbury to Carolchester,21-11-2008,Nicole Ingram,932.640.1758x1507,QZ8367208,29,276,6624,13248
MH46AE6069,2022,2029,10000,Refrigerated,40,Chemicals,Wrightmouth to Thompsonborough,01-09-2023,Rebecca Stone,(225)305-8121,LG1708150,30,277,10526,21052
MH94JU9074,2022,2025,10000,Dry Van,20,Furniture,North Andrewshire to New Jamesburgh,17-03-2025,Nathan Leach,(571)839-4268x0589,QT1249694,9,207,10350,20700
MH60RP1354,2021,2026,20000,Dry Van,40,Chemicals,Phamstad to Port Laura,30-10-2024,Michael Dixon,001-775-145-2954,VS6516157,15,83,3984,7968
MH14WT3532,2012,2025,15000,Flatbed,40,Food,Dustinhaven to Rickyshire,02-05-2018,Jacob Newton,(781)406-1168x43840,NL3562163,7,186,4092,4092
MH45CT2151,2016,2017,15000,Flatbed,20,Food,Lake Melissaland to Christensenville,16-11-2020,Kristopher Thompson,818.947.1974,GP1310300,3,165,2970,2970
MH18FG7240,2022,2024,20000,Dry Van,20,Electronics,New Tamara to Smithmouth,25-01-2022,Bruce Phillips,250.223.9407,ED2690400,9,471,18369,18369
MH69WJ1312,2012,2016,5000,Flatbed,40,Food,Ramosmouth to West Willie,09-04-2021,Dylan Smith,112.476.1237x21011,BP4866988,30,453,19479,38958
MH19LY3355,2014,2024,15000,Refrigerated,40,Clothing,New Molly to Brockhaven,12-03-2024,Jenny Morris,(771)191-1000x55886,HU6262785,13,411,16440,32880
MH74UR6656,2022,2033,10000,Refrigerated,40,Furniture,East Jasonborough to Garciamouth,29-01-2023,Alexis Moran,(777)785-8405x4411,XK1846705,21,480,16800,33600
MH68BG2578,2013,2022,15000,Refrigerated,20,Chemicals,Vanessastad to Wesleyview,05-06-2015,Stefanie Stanley MD,276.199.2031x25591,VR4005812,19,112,4480,8960
MH34IZ4945,2022,2037,10000,Dry Van,40,Food,Smithfort to Port Rhondaside,18-01-2023,April Campbell,618558271,YC6930519,30,196,9604,19208
MH12JR1338,2016,2030,5000,Flatbed,20,Furniture,Marcland to North Davidberg,06-08-2016,Trevor Rodriguez,244.291.5120x691,NX5244403,30,293,12892,25784
MH88XB7731,2016,2020,15000,Tanker,20,Food,New Emily to Port Danielhaven,26-03-2020,Travis Johnson,(292)968-4340,TX7143491,6,36,720,720
MH82LI4182,2010,2019,10000,Flatbed,40,Furniture,Robinsonmouth to Simmonsside,12-05-2024,Taylor Rios,001-949-181-0142x63906,GL3673174,23,430,12900,12900
MH40OO6491,2021,2036,20000,Flatbed,20,Food,West Shane to Turnerchester,22-07-2022,Amanda Underwood,850.611.2721x94197,BO8605854,20,369,7749,7749
MH65SJ9761,2013,2028,15000,Flatbed,40,Electronics,Christineborough to Stephensonfurt,26-04-2021,Michael Rios,001-155-561-8290,EG8343842,19,19,760,760
MH11LX3942,2017,2024,15000,Tanker,40,Food,Stanleyton to East Sharon,25-05-2019,Christina Hancock,788-036-7760x6123,IL3677664,17,38,456,912
MH70OQ9527,2014,2019,5000,Refrigerated,20,Food,Lake Angelaland to Kyleborough,14-02-2014,Anthony Guzman,(308)155-0411x9837,GV7012008,22,438,21462,21462
MH53KM2914,2018,2026,10000,Dry Van,40,Furniture,New Vincent to Vargasberg,03-04-2022,Patricia Allen,(178)807-8578,WU3313716,6,487,13636,27272
MH57BJ5435,2006,2013,5000,Tanker,40,Food,Conniestad to West Jamestown,15-06-2021,Ricky Bradford,+1-335-831-5536x76334,EN3069050,29,294,13230,26460
MH99RX9050,2022,2034,10000,Flatbed,40,Food,Stewarthaven to Debraport,31-07-2024,Frances Moreno,4380378689,VM7072710,5,282,11280,22560
MH96XD5639,2019,2025,5000,Dry Van,40,Electronics,Crystalchester to Laurenfurt,23-11-2019,Virginia Fields,214.147.7439x9614,SG3030935,1,411,16440,16440
MH49BS5659,2020,2026,20000,Flatbed,40,Furniture,New Christopher to Sheilatown,02-10-2021,Clayton Jones,822.515.2927,RZ6707220,2,128,5632,11264
TN18BK1156,2025,2035,6523,Heater,52,steel,chennai to kerela ,06-10-2025,clarei,5896741256,FV6352414,25,8278,5255,5555
